capture_id,captured_at,source,raw_text,status,suggested_destination,normalized_text,error
import-note-1,2026-02-25T12:00:00.000Z,migration_import,priorities: no weed + eat clean + gym only. simplifying.,accepted,inbox,,
import-note-2,2026-02-25T12:00:00.000Z,migration_import,[ADDICTION] Written at rock bottom - 245 lbs after 3 weeks of daily weed/LoL/poker. READ THIS WHEN YOU HAVE AN URGE: Even if there is a chance it would be enjoyable - weed will only bring me down and make me end up at the same rock bottom I have found myself many times. Energy and sleep get depleted. Weight hits ATH. Motivation and dopamine gone. There is no 'just a little.' Check the log - 0% success rate with moderation. The pain you forgot is real. You are reading this because your brain is lying to you.,accepted,inbox,,
import-note-3,2026-02-25T12:00:00.000Z,migration_import,Rock bottom day. Emotionally drained. Smoked and played league. But worked on the app and felt interest in AI again. Day zero - tomorrow is day one. It's going to be hard but sticking to it.,accepted,inbox,,
import-note-4,2026-02-26T12:00:00.000Z,migration_import,Consider how adding meditate section into the app would integrate with existing functionalities - reflections and trigger tracking already exist. Into meditation (Francis Lucille). How might this factor in?,needs_review,manual,,
import-note-5,2026-02-26T12:00:00.000Z,migration_import,When I give a suggestion - explore whether Claude should investigate and give a concise response on whether its a good idea vs just saving it for when Im at my keyboard,archived,ideas,,
import-note-6,2026-02-26T12:00:00.000Z,migration_import,Idea: notifications should give a contextual response after looking things up instead of just saying saved/logged. Unsure if good idea - logged for later review.,needs_review,ideas,Idea: notifications should give a contextual response after looking things up instead of just saying saved/logged. Unsure if good idea - logged for later review.,
import-note-7,2026-02-26T12:00:00.000Z,migration_import,Add 5min cardio to every gym session - start frictionless then expand later,needs_review,inbox,Add 5min cardio to every gym session - start frictionless then expand later,
import-note-8,2026-02-26T12:00:00.000Z,migration_import,Feature idea: add graphs to weight and workout logging + habit tracking - show projected progress vs actual progress,accepted,ideas,,
import-note-9,2026-02-26T12:00:00.000Z,migration_import,5min stairmaster to finish gym session,accepted,inbox,,
chat-20260226-233817-energy-crash,2026-02-26T23:38:17Z,chat,OMAD today: one big meal around 3:00 PM. Around 5:30 PM I felt a strong crash (sleepy/tired). Unsure if from big meal vs weed recovery fatigue.,accepted,reflections,OMAD 3pm large meal -> 5:30pm sleepy crash; unsure cause (meal load vs weed recovery).,
voice-34,2026-02-27T00:00:00.000Z,voice,What's my workout today,accepted,question,,
voice-41,2026-02-27T19:57:45Z,voice,Extremely important note - addictive personality goes 100% in everything including fitness then crashes back to binge mode. Need pattern recognition in app to identify this cycle.,accepted,reflections+ideas,,
